"";"H1";"H10";"H11";"H12";"H13";"H14";"H15";"H16_1";"H16_2";"H16_3";"H16_4";"H16_5";"H17_1";"H17_2";"H18_1";"H18_2";"H18_3";"H18_4";"H18_5";"H18_6";"H19_1";"H19_2";"H19_3";"H19_4";"H19_5";"H2";"H20_1";"H20_2";"H20_3";"H20_4";"H20_5";"H20_6";"H20_7";"H20_8";"H21_1";"H21_10";"H21_11";"H21_12";"H21_2";"H21_3";"H21_4";"H21_5";"H21_6";"H21_7";"H21_8";"H21_9";"H22_1";"H22_10";"H22_11";"H22_12";"H22_13";"H22_14";"H22_15";"H22_16";"H22_2";"H22_3";"H22_4";"H22_5";"H22_6";"H22_7";"H22_8";"H22_9";"H23_1";"H23_2";"H23_3";"H23_4";"H23_5";"H23_6";"H24";"H25";"H26";"H27";"H28";"H29";"H3";"H30";"H31";"H32";"H33";"H34";"H35";"H36";"H37";"H38";"H39";"H40";"H41";"H42";"H43";"H44";"H45";"H46";"H47";"H48";"H49";"H4_1";"H4_2";"H4_3";"H4_4";"H4_5";"H4_6";"H4_7";"H4_8";"H50";"H51";"H52";"H53";"H54";"H55";"H56";"H57";"H58";"H59";"H5_1";"H5_2";"H6";"H60";"H61";"H62";"H63";"H64";"H65";"H66";"H67";"H68";"H69";"H7";"H70";"H71";"H72";"H73";"H74";"H75";"H76";"H77";"H78";"H79";"H8";"H80";"H81";"H82";"H83";"H84";"H85";"H9";"ID"
"42";"15535";"45,3";"68,7";"18,5";"0,0185";"-10";"-6";"0,15";"0,01";"0,75";"0,04";"0,05";"0,29";"0,71";"0,1";"0,09";"0,27";"0,23";"0,21";"0,1";"0,09";"0,37";"0,32";"0,23";"0";"22507";"0,42";"0,04";"0,19";"0,12";"0,13";"0,06";"0,01";"0,02";"0,04";"0,08";"0,02";"0";"0,05";"0,08";"0,26";"0,04";"0";"0,12";"0,13";"0,19";"0,04";"0,13";"0,11";"0,18";"0,04";"0,15";"0";"0,01";"0";"0";"0,07";"0,02";"0,06";"0,03";"0,11";"0,04";"0,06";"0,24";"0,64";"0,04";"0";"0,02";"907,28";"0,64";"0,67";"0,26";"0,27";"514,62";"5";"2336,38";"2321,34";"801,32";"449,91";"0";"1";"2";"2";"2";"";"2";"5";"5,61";"4";"124";"1";"14270";"2";"0";"2";"0,086257";"0,056775";"0,076923";"0,196588";"0,123077";"0,157258";"0,154297";"0,148825";"14";"2";"";"1";"2";"1";"1";"0";"0";"0";"0,493";"0,506";"0,236";"0";"1";"1";"4";"0";"1";"0";"9997";"0";"0";"0,185";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,688";"0";"0";"";"0";"0";"";"0,127";"103"
"43";"39796";"54,7";"98,4";"27,1";"0,0383";"-185";"22";"0,28";"0,09";"0,49";"0,08";"0,05";"0,39";"0,61";"0,19";"0,29";"0,21";"0,18";"0,09";"0,04";"0,19";"0,34";"0,34";"0,12";"0,01";"39796";"0,38";"0,06";"0,09";"0,27";"0,11";"0,05";"0,01";"0,02";"0,02";"0,05";"0,02";"0,02";"0,12";"0,03";"0,2";"0,05";"0,01";"0,27";"0,11";"0,09";"0,01";"0,12";"0,11";"0,15";"0,17";"0,05";"0";"0";"0,02";"0,03";"0,04";"0,05";"0,06";"0,07";"0,06";"0,05";"0,07";"0,3";"0,51";"0,11";"0";"0,02";"1153,06";"0,38";"0,51";"0,32";"0,39";"735,54";"2";"2682,89";"3228,22";"981,34";"527,78";"0";"1";"2";"2";"1";"Romowie";"2";"4";"19,11";"2";"159";"1";"8900";"0";"0";"2";"0,09702";"0,048723";"0,056036";"0,159488";"0,145944";"0,113504";"0,170394";"0,20889";"35";"2";"";"0";"4";"0";"0";"0";"0";"0";"0,472";"0,528";"0,257";"0";"4";"0";"20";"9";"0";"0";"9997";"1";"2";"0,178";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,646";"0";"0";"";"0";"0";"";"0,175";"104"
"40";"1393";"54,1";"47";"17,3";"0,0346";"-68";"-1";"0,4";"0,02";"0,49";"0,06";"0,03";"0,23";"0,77";"0,24";"0,24";"0,14";"0,19";"0,04";"0,14";"0,41";"0,33";"0,17";"0,09";"0";"7378";"0,49";"0,09";"0,14";"0,12";"0,05";"0,08";"0";"0,02";"0,02";"0,08";"0,02";"0,04";"0";"0,02";"0,31";"0,14";"0,04";"0,12";"0,05";"0,14";"0";"0,1";"0,21";"0,14";"0,09";"0,13";"0";"0";"0";"0";"0";"0,13";"0,15";"0";"0";"0,05";"0";"0,13";"0,8";"0,06";"0";"0";"1239,2";"0,38";"0,62";"0";"0,59";"720,25";"4";"3505,8";"4781,4";"133,07";"486,49";"99997";"1";"1";"1";"2";"";"2";"2";"8,26";"6";"218";"7";"7698";"0";"0";"2";"0,130388";"0,065329";"0,072648";"0,1701";"0,184061";"0,118867";"0,124831";"0,133776";"16";"2";"";"0";"0";"2";"9997";"0";"0";"0";"0,499";"0,501";"0,149";"9997";"0";"0";"0";"9997";"0";"0";"9997";"0";"0";"0,239";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,649";"0";"0";"";"0";"0";"";"0,112";"105"
"87";"16209";"56";"92,8";"27";"0,0261";"-88";"2";"0,38";"0,03";"0,49";"0,05";"0,06";"0,31";"0,69";"0,21";"0,23";"0,28";"0,16";"0,09";"0,02";"0,2";"0,25";"0,31";"0,24";"0";"16209";"0,44";"0,09";"0,11";"0,18";"0,12";"0,03";"0,02";"0,02";"0,07";"0,05";"0,02";"0,03";"0,08";"0,06";"0,22";"0,06";"0";"0,18";"0,12";"0,11";"0,01";"0,05";"0,06";"0,08";"0,05";"0,4";"0";"0,03";"0,07";"0,01";"0,02";"0,07";"0,03";"0,03";"0,05";"0,03";"0,13";"0,17";"0,49";"0,21";"0";"0";"1103,39";"0,5";"0,54";"0,53";"0,21";"678,99";"2";"3282,34";"3691,08";"782,37";"617,66";"0";"2";"2";"2";"2";"";"2";"2";"24,27";"2";"174";"1";"9270";"0";"0";"1";"0,095009";"0,050157";"0,069159";"0,154852";"0,137886";"0,134";"0,158862";"0,200074";"9997";"2";"";"0";"0";"0";"1";"0";"2";"0";"0,474";"0,526";"0,263";"0";"2";"0";"8";"0";"0";"0";"9997";"0";"1";"0,186";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,641";"0";"0";"";"0";"0";"";"0,173";"106"
"1";"2000";"51,5";"81,1";"23,1";"0,0412";"31";"-2";"0,2";"0,08";"0,67";"0";"0,04";"0,27";"0,73";"0,04";"0,33";"0,24";"0,31";"0,08";"0";"0,07";"0,66";"0,16";"0,11";"0";"6154";"0,6";"0,03";"0,04";"0,2";"0,08";"0,06";"0";"0";"0,04";"0,06";"0";"0";"0,11";"0";"0,28";"0,17";"0,04";"0,2";"0,08";"0,04";"0";"0,13";"0,3";"0,08";"0,04";"0,07";"0";"0";"0";"0";"0";"0";"0,04";"0,04";"0,18";"0,11";"0,04";"0,23";"0,65";"0,08";"0";"0";"1239,2";"0,62";"0,58";"0";"0,83";"577,34";"4";"2454,69";"2860,9";"737,06";"396";"0";"2";"2";"2";"2";"";"2";"1";"7,38";"3";"155";"1";"1453";"0";"0";"1";"0,098148";"0,052161";"0,064998";"0,158759";"0,160871";"0,11326";"0,166721";"0,185083";"6";"2";"";"0";"0";"0";"0";"0";"0";"0";"0,486";"0,514";"0,2";"0";"0";"0";"0";"0";"0";"0";"9997";"0";"0";"0,188";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,66";"0";"0";"";"0";"0";"";"0,152";"107"
"5";"2305";"54,2";"71,9";"22,7";"0,037";"-26";"3";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"4327";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"1186,91";"997";"997";"997";"997";"1216,34";"3";"3294,89";"3728,85";"972,27";"659,39";"5";"2";"2";"2";"2";"";"2";"1";"6,84";"1";"130";"0";"99999997";"1";"0";"1";"0,109083";"0,05639";"0,065865";"0,17333";"0,13358";"0,118789";"0,167321";"0,175641";"8";"2";"";"0";"0";"2";"1";"1";"1";"1";"0,495";"0,505";"0,276";"0";"0";"0";"0";"0";"0";"0";"9997";"0";"1";"0,205";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,649";"0";"0";"";"0";"0";"";"0,147";"108"
"9";"8649";"53";"93";"25,6";"0,0178";"-57";"-1";"0,23";"0";"0,64";"0,04";"0,09";"0,43";"0,57";"0,03";"0,24";"0,4";"0,16";"0,04";"0,14";"0,21";"0,23";"0,31";"0,26";"0";"8649";"0,44";"0,08";"0,09";"0,24";"0,13";"0,02";"0";"0";"0,1";"0,02";"0";"0";"0,07";"0,07";"0,12";"0,09";"0,07";"0,24";"0,13";"0,09";"0,18";"0,08";"0,1";"0,07";"0,16";"0,2";"0";"0,06";"0";"0";"0";"0,05";"0";"0,04";"0";"0,04";"0";"0,24";"0,7";"0,06";"0";"0";"978,49";"0,6";"0,68";"0,36";"0,24";"678,54";"5";"2319,6";"2371,5";"959,54";"497,77";"0";"1";"2";"2";"1";"Romowie";"2";"2";"9,77";"3";"288";"1";"3222";"2";"0";"1";"0,095502";"0,049832";"0,062435";"0,165106";"0,136548";"0,129495";"0,163371";"0,197711";"18";"2";"";"0";"2";"4";"7";"0";"7";"0";"0,471";"0,529";"0,163";"0";"4";"0";"8";"0";"0";"0";"9997";"0";"0";"0,18";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0,654";"0";"0";"";"0";"0";"";"0,167";"109"
"77";"6639";"54";"95,2";"26,4";"0,0224";"-70";"-5";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"12791";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"1026,36";"997";"997";"997";"997";"1286,2";"3";"3135,31";"3664,01";"864,61";"443,57";"0";"1";"2";"2";"2";"";"2";"3";"10,18";"4";"90";"1";"600";"1";"0";"1";"0,096005";"0,049253";"0,06098";"0,163709";"0,140958";"0,111641";"0,172621";"0,204832";"12";"1";"niemiecki";"0";"0";"0";"2";"0";"2";"0";"0,494";"0,506";"0,135";"1";"1";"0";"1";"0";"0";"0";"9997";"0";"1";"0,18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,649";"0";"0";"";"0";"0";"";"0,171";"110"
"76";"4448";"54,2";"95,1";"26,4";"0,0261";"-1";"-4";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"4448";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"1103,39";"997";"997";"997";"997";"1165,04";"5";"3013,6";"3417,76";"1032,24";"959,2";"0";"1";"2";"2";"2";"";"2";"1";"20,8";"1";"241";"1";"9793";"0";"0";"0";"0,092401";"0,052158";"0,063849";"0,17446";"0,125225";"0,131295";"0,166817";"0,193795";"0";"2";"";"0";"2";"15";"0";"0";"6";"0";"0,489";"0,511";"0,279";"0";"0";"1";"0";"4";"0";"0";"9997";"0";"0";"0,18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,649";"0";"0";"";"0";"0";"";"0,171";"111"
"75";"203804";"52,5";"121,7";"28,8";"0,0289";"-1071";"-51";"0,3";"0,02";"0,47";"0,12";"0,08";"0,35";"0,65";"0,26";"0,25";"0,25";"0,2";"0,03";"0,01";"0,1";"0,23";"0,39";"0,28";"0";"203804";"0,47";"0,07";"0,05";"0,24";"0,12";"0,03";"0,01";"0,01";"0,06";"0,04";"0,01";"0";"0,15";"0,07";"0,22";"0,05";"0";"0,24";"0,12";"0,05";"0,06";"0,11";"0,11";"0,14";"0,12";"0,11";"0";"0,01";"0,02";"0,03";"0,04";"0,05";"0,07";"0,05";"0,06";"0,04";"0,05";"0,19";"0,57";"0,17";"0";"0,02";"1026,36";"0,43";"0,63";"0,47";"0,15";"978,01";"2";"4491,31";"4807,85";"1312,83";"810,9";"99997";"1";"2";"2";"2";"";"2";"31";"15,31";"15";"230";"14";"670092";"3";"0";"3";"0,085347";"0,039896";"0,052678";"0,156273";"0,162553";"0,120655";"0,161827";"0,220771";"80";"2";"";"23";"4";"10";"22";"9997";"9997";"9997";"0,472";"0,528";"0,106";"9997";"39";"0";"333";"9997";"3";"1";"1";"2";"2";"0,155";"1";"2";"3";"8";"0";"0";"0";"0";"0";"0";"0,656";"0";"0";"";"1";"2";"Julit; Lidears leader contraction";"0,189";"112"
"74";"2500";"59,7";"58";"21,9";"0,0228";"9";"0";"0,37";"0";"0,47";"0,06";"0,11";"0,26";"0,74";"0,15";"0,29";"0,07";"0,22";"0,18";"0,1";"0,43";"0,35";"0,2";"0,02";"0";"5465";"0,45";"0";"0,21";"0,23";"0,09";"0,02";"0";"0";"0";"0,02";"0";"0";"0";"0,09";"0,24";"0,09";"0,02";"0,23";"0,09";"0,21";"0";"0,18";"0,14";"0,05";"0,05";"0,19";"0";"0";"0,02";"0,03";"0,1";"0,04";"0,1";"0";"0,05";"0,04";"0,31";"0,34";"0,25";"0,09";"0";"0";"1158,49";"0,56";"0,46";"0,05";"0,48";"801,57";"4";"3038,86";"3715,63";"1064,66";"662,69";"0";"2";"2";"2";"2";"";"2";"1";"12,56";"2";"145";"1";"17770";"0";"0";"2";"0,124977";"0,070997";"0,064227";"0,167978";"0,145654";"0,123696";"0,144922";"0,157548";"8";"2";"";"0";"0";"0";"0";"0";"1";"0";"0,493";"0,507";"0,198";"0";"0";"1";"2";"0";"0";"0";"9997";"0";"1";"0,237";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,626";"0";"0";"";"0";"0";"";"0,137";"113"
"73";"176987";"55,6";"112";"29,4";"0,0277";"-542";"92";"0,27";"0,03";"0,5";"0,11";"0,09";"0,39";"0,61";"0,24";"0,28";"0,28";"0,16";"0,03";"0,01";"0,1";"0,43";"0,3";"0,15";"0,01";"176987";"0,53";"0,04";"0,05";"0,24";"0,09";"0,04";"0,01";"0,01";"0,03";"0,04";"0,01";"0,01";"0,1";"0,05";"0,33";"0,06";"0";"0,24";"0,09";"0,05";"0,03";"0,11";"0,13";"0,12";"0,12";"0,12";"0";"0,01";"0,02";"0,02";"0,04";"0,06";"0,07";"0,04";"0,04";"0,07";"0,09";"0,23";"0,57";"0,1";"0";"0,01";"1168,42";"0,53";"0,49";"0,28";"0,32";"413,39";"2";"3889,92";"4170,36";"1429,37";"450,13";"99997";"1";"2";"2";"2";"";"2";"28";"10,94";"18";"266";"14";"472295";"1";"0";"4";"0,093384";"0,044804";"0,05382";"0,150719";"0,157861";"0,12008";"0,158924";"0,220407";"3";"2";"";"10";"6";"21";"2";"0";"0";"0";"0,4719";"0,5281";"0,06";"0";"49";"0";"242";"0";"0";"1";"1";"0";"1";"0,169";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0,643";"0";"0";"";"0";"0";"";"0,189";"114"
"72";"4781";"51,5";"71,2";"21,4";"0,0357";"-10";"-3";"0,24";"0,11";"0,48";"0,05";"0,13";"0,39";"0,61";"0,19";"0,25";"0,2";"0,17";"0,04";"0,15";"0,27";"0,42";"0,24";"0,08";"0";"4781";"0,26";"0,05";"0,17";"0,3";"0,1";"0,1";"0,02";"0";"0";"0,12";"0";"0,03";"0";"0,05";"0,23";"0";"0";"0,3";"0,1";"0,17";"0,02";"0,26";"0,1";"0,07";"0,07";"0,15";"0";"0";"0";"0,02";"0,02";"0,05";"0,1";"0,02";"0,05";"0,06";"0";"0,21";"0,65";"0,07";"0";"0,08";"1239,2";"0,36";"0,41";"0,03";"0,62";"593,24";"4";"3289,94";"3351,43";"1054";"462,84";"0";"1";"2";"2";"2";"";"2";"1";"12,18";"2";"193";"3";"2646";"0";"0";"2";"0,097678";"0,060448";"0,074671";"0,170885";"0,137628";"0,130517";"0,161472";"0,166702";"10";"2";"";"0";"0";"0";"0";"0";"1";"0";"0,488";"0,512";"0,191";"0";"0";"0";"0";"0";"0";"0";"9997";"0";"0";"0,199";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,66";"0";"0";"";"0";"0";"";"0,141";"115"
"71";"2185";"56,3";"61,9";"21,5";"0,025";"9";"3";"0,38";"0";"0,54";"0";"0,08";"0,33";"0,67";"0,12";"0,39";"0,16";"0,08";"0,04";"0,21";"0,37";"0,28";"0,23";"0,11";"0";"7491";"0,58";"0,04";"0";"0,28";"0,09";"0";"0";"0";"0";"0";"0";"0";"0,16";"0,09";"0,3";"0,08";"0";"0,28";"0,09";"0";"0";"0";"0,05";"0";"0";"0,88";"0";"0";"0";"0";"0";"0";"0";"0,04";"0,04";"0";"0,04";"0,17";"0,75";"0,04";"0";"0";"1107,54";"0,6";"0,68";"0";"0,53";"433,73";"4";"2323,88";"2608,85";"1286,9";"395,83";"99997";"2";"2";"2";"2";"";"2";"1";"18,18";"4";"136";"1";"3620";"0";"0";"2";"0,11387";"0,065946";"0,078227";"0,164865";"0,153785";"0,136697";"0,125751";"0,16086";"10";"2";"";"0";"0";"0";"1";"0";"0";"0";"0,4916";"0,5083";"0,12";"0";"0";"0";"0";"1";"0";"0";"9997";"0";"0";"0,222";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,64";"0";"0";"";"0";"0";"";"0,138";"116"
"70";"31025";"56,5";"106,5";"29,2";"0,0254";"75";"-11";"0,32";"0,09";"0,32";"0,17";"0,09";"0,43";"0,57";"0,45";"0,25";"0,16";"0,11";"0,03";"0";"0,13";"0,54";"0,21";"0,11";"0,01";"31025";"0,57";"0,03";"0,02";"0,2";"0,1";"0,07";"0";"0";"0,01";"0,07";"0";"0,27";"0,07";"0,05";"0,18";"0,02";"0";"0,2";"0,1";"0,02";"0,01";"0,09";"0,09";"0,15";"0,15";"0,07";"0";"0,01";"0";"0,01";"0,03";"0,08";"0,09";"0,11";"0,08";"0,04";"0,07";"0,26";"0,59";"0,07";"0";"0";"1239,2";"0,36";"0,38";"0,28";"0,19";"444,16";"2";"2655,33";"2859,17";"721,96";"360,88";"0";"1";"2";"2";"2";"";"2";"3";"13,75";"3";"221";"3";"14412";"0";"0";"9997";"0,095794";"0,047768";"0,05444";"0,143916";"0,170959";"0,117035";"0,145302";"0,224786";"9997";"2";"";"2";"3";"12";"0";"1";"0";"0";"0,48";"0,52";"0,114";"0";"8";"0";"11";"0";"0";"0";"9997";"0";"2";"0,175";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0,639";"0";"0";"";"0";"0";"";"0,186";"117"
"79";"22349";"51,6";"72";"21,6";"0,032";"203";"-28";"0,25";"0,05";"0,46";"0,07";"0,17";"0,35";"0,65";"0,19";"0,33";"0,31";"0,12";"0,04";"0,02";"0,26";"0,34";"0,27";"0,14";"0";"34364";"0,54";"0,06";"0,07";"0,26";"0,04";"0,01";"0,01";"0,02";"0,04";"0,02";"0,02";"0";"0,19";"0,06";"0,19";"0,11";"0";"0,26";"0,04";"0,07";"0,04";"0,14";"0,09";"0,17";"0,13";"0,09";"0";"0";"0,02";"0";"0,02";"0,02";"0,09";"0,09";"0,05";"0,04";"0";"0,07";"0,86";"0,08";"0";"0";"1186,91";"0,33";"0,49";"0,34";"0,24";"345,04";"3";"2825,32";"3116,84";"1087,58";"424,43";"0";"2";"2";"2";"2";"";"2";"5";"10,7";"7";"154";"2";"9500";"3";"0";"4";"0,106361";"0,055465";"0,061431";"0,158742";"0,161885";"0,122745";"0,160982";"0,17239";"25";"2";"";"0";"0";"0";"0";"0";"0";"0";"0,487";"0,513";"0,184";"0";"8";"0";"14";"0";"0";"1";"9998";"0";"1";"0,198";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0,66";"0";"0";"";"0";"0";"";"0,142";"118"
"78";"69527";"50,2";"63,8";"19,6";"0,0226";"-257";"-6";"0,27";"0,04";"0,53";"0,07";"0,09";"0,37";"0,63";"0,21";"0,26";"0,2";"0,21";"0,07";"0,05";"0,18";"0,22";"0,36";"0,24";"0";"69527";"0,41";"0,05";"0,11";"0,29";"0,09";"0,02";"0,02";"0,02";"0,04";"0,03";"0,02";"0,01";"0,12";"0,04";"0,2";"0,05";"0,01";"0,29";"0,09";"0,11";"0,04";"0,09";"0,11";"0,12";"0,15";"0,14";"0";"0";"0";"0,02";"0,07";"0,04";"0,06";"0,05";"0,09";"0,02";"0,04";"0,2";"0,61";"0,13";"0,01";"0,01";"1103,2";"0,52";"0,61";"0,54";"0,17";"1368,66";"2";"4274,31";"4751,04";"1417,71";"701,97";"0";"1";"2";"2";"2";"";"2";"9";"21,42";"5";"177";"5";"49859";"1";"0";"6";"0,104046";"0,056568";"0,075194";"0,173904";"0,144318";"0,142017";"0,150934";"0,15302";"80";"2";"";"1";"0";"2";"0";"0";"5";"0";"0,479";"0,521";"0,122";"0";"2";"0";"20";"0";"1";"1";"9998";"0";"1";"0,204";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,666";"0";"0";"";"0";"0";"";"0,13";"119"
"47";"452";"61,1";"81,1";"27,4";"0,0266";"-6";"0";"0,33";"0";"0,65";"0";"0,02";"0,26";"0,74";"0,07";"0,17";"0,14";"0,35";"0,22";"0,05";"0,2";"0,42";"0,27";"0,11";"0";"4488";"0,49";"0";"0,07";"0,22";"0,15";"0,07";"0";"0";"0";"0,07";"0";"0";"0";"0,03";"0,17";"0,09";"0,2";"0,22";"0,15";"0,07";"0";"0,08";"0,1";"0,04";"0,03";"0,21";"0";"0";"0";"0";"0,06";"0,13";"0,15";"0,07";"0,07";"0,07";"0,09";"0,09";"0,78";"0,05";"0";"0";"1158,49";"0,8";"0,53";"0,03";"0,63";"567,7";"4";"2565,25";"2699,36";"1191,7";"438,49";"0";"2";"2";"2";"2";"";"2";"1";"11,07";"1";"102";"1";"2850";"0";"0";"1";"0,112522";"0,059938";"0,064394";"0,168895";"0,131684";"0,122326";"0,142825";"0,197415";"14";"2";"";"0";"0";"0";"0";"0";"1";"0";"0,499";"0,501";"0,206";"0";"0";"0";"1";"0";"0";"0";"9997";"0";"1";"0,209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,621";"0";"0";"";"0";"0";"";"0,17";"120"
